title,price,tags
Men Slim Fit Printed Cut Away Collar Casual Shirt,₹416,"['pants', 'shirts', 'young', 'women']"
Unstitched Viscose Rayon Shirt Fabric Printed,₹321,"['pants', 'shirts', 'young', 'women']"
Men Regular Fit Printed Spread Collar Casual Shirt,₹289,"['pants', 'shirts', 'young', 'women']"
"Pack of 2 Men Printed Dark Blue, Black Track Pants",₹399,"['pants', 'shirts', 'young', 'women']"
Men Skinny Mid Rise Blue Jeans,"₹1,417","['pants', 'shirts', 'young', 'women']"
Short For Boys & Girls Casual Printed Cotton Blend,₹519,"['pants', 'shirts', 'young', 'women']"
"Pack of 2 Men Printed Black, Grey Track Pants",₹399,"['pants', 'shirts', 'young', 'women']"
Pack of 2 Men Striped Multicolor Track Pants,₹399,"['pants', 'shirts', 'young', 'women']"
Boys Casual T-shirt Shorts,₹396,"['pants', 'shirts', 'young', 'women']"
Men Slim Fit Printed Cut Away Collar Casual Shirt,₹599,"['pants', 'shirts', 'young', 'women']"
